FAULT 3:14.7 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 3:14.7 S138 | shaft ban clear left-xz ban=222,95 now=233,98 manh=14 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 3:20.3 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=241,62,100 walls=4/4/4 sky=15 place=52 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:22.1 S139 | rise confirmed +4y y=66 startY=62 pos=241,66,100 walls=0/0/0 sky=15 place=50 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 3:22.1 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=241,100 pos=241,66,100 walls=0/0/0 sky=15 place=50 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 3:22.1 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=241,66,100 walls=0/0/0 sky=15 place=50 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 3:23.0 E100 | jumps=12 @241,65,100 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:25.4 S135 | S130 suppressed why=would-S130 but busy cool=14 flips=6 sameXz=66 child=CollectIronIngotTask cool=14 ban=14 hold=false pos=241,62,100 walls=4/4/4 sky=15 place=52 boxed=true hold=false cool=14 ban=14 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:25.4 S100 | stop jump-walk @241,100 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:25.8 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 3:26.1 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 3:26.1 S137 | re-cool still-boxed@241,100 n=1 ticks=160 end=risen y=66 startY=62 pos=241,62,100 walls=4/4/4 sky=15 place=53 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:28.1 S135 | S130 suppressed why=would-S130 but busy cool=121 flips=3 sameXz=40 child=CollectIronIngotTask cool=121 ban=121 hold=false pos=241,60,100 walls=4/4/4 sky=15 place=54 boxed=true hold=false cool=121 ban=121 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:29.6 E100 | jumps=6 @241,59,100 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:29.6 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 3:33.3 S138 | shaft ban clear left-xz ban=241,100 now=241,102 manh=2 left=18 | pillar state machine: check ban column vs actual shaft column
FAULT 3:34.1 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 3:34.2 S138 | shaft ban clear left-xz ban=241,100 now=242,106 manh=7 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 3:41.0 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=246,62,112 walls=4/4/4 sky=15 place=54 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:42.9 E100 | jumps=11 @246,66,112 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:42.9 S139 | rise confirmed +4y y=66 startY=62 pos=246,66,112 walls=0/0/0 sky=15 place=52 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 3:42.9 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=246,112 pos=246,66,112 walls=0/0/0 sky=15 place=52 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 3:42.9 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=246,66,112 walls=0/0/0 sky=15 place=52 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 3:46.2 S135 | S130 suppressed why=would-S130 but busy cool=14 flips=6 sameXz=66 child=CollectIronIngotTask cool=14 ban=14 hold=false pos=246,62,112 walls=4/4/4 sky=15 place=54 boxed=true hold=false cool=14 ban=14 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:46.2 S100 | stop jump-walk @246,112 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:46.5 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
