FAULT 7:15.4 S100 | stop jump-walk @-353,139 ph=IRON child=CollectIronIngotTask esc=1 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:15.4 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 7:20.0 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 7:20.0 S137 | re-cool still-boxed@-353,139 n=2 ticks=320 end=risen y=66 startY=62 pos=-353,59,139 walls=4/4/4 sky=15 place=8 boxed=true hold=false cool=320 ban=320 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:20.0 S142 | unban for real pillar attempt@-353,139 reCool=2 pos=-353,59,139 walls=4/4/4 sky=15 place=8 boxed=true hold=false cool=320 ban=320 startY=- step=0 | shaft ban lifted: 1x1 shaft cannot clear a ban by walking, so pillaring is the only way out
FAULT 7:20.8 E100 | jumps=6 @-353,59,139 ph=IRON child=TimeoutWanderTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:23.5 S130 | START trigger=flips=25 ph=IRON prev=CollectIronIngotTask cycle=2 pos=-353,60,139 walls=4/4/4 sky=15 place=8 boxed=true hold=false cool=0 ban=0 startY=60 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:25.8 E100 | jumps=6 @-353,63,139 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:25.9 S139 | rise confirmed +4y y=64 startY=60 pos=-353,64,139 walls=0/0/4 sky=15 place=4 boxed=false hold=true cool=0 ban=0 startY=60 step=43 | rise confirmed: real escape, cool armed
FAULT 7:25.9 S133 | cool arm ticks=80 reason=risen y=64 startY=60 ban=-353,139 pos=-353,64,139 walls=0/0/4 sky=15 place=4 boxed=false hold=true cool=80 ban=80 startY=60 step=43 | pillar state machine: check ban column vs actual shaft column
FAULT 7:25.9 S136 | END reason=risen y=64 startY=60 roseReal=true giveUp=true pos=-353,64,139 walls=0/0/4 sky=15 place=4 boxed=false hold=true cool=80 ban=80 startY=60 step=43 | pillar state machine: check ban column vs actual shaft column
FAULT 7:26.9 S135 | S130 suppressed why=would-S130 but busy cool=61 flips=3 sameXz=19 child=CollectIronIngotTask cool=61 ban=61 hold=false pos=-353,62,139 walls=4/4/4 sky=15 place=4 boxed=true hold=false cool=61 ban=61 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:28.0 S100 | stop jump-walk @-353,139 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:28.9 S135 | S130 suppressed why=would-S130 but busy cool=20 flips=2 sameXz=60 child=CollectIronIngotTask cool=20 ban=20 hold=false pos=-353,59,139 walls=4/4/4 sky=15 place=7 boxed=true hold=false cool=20 ban=20 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:29.9 S134 | pillar cool expire after flips=25 end=risen y=64 startY=60 | pillar state machine: check ban column vs actual shaft column
FAULT 7:29.9 S137 | re-cool still-boxed@-353,139 n=1 ticks=160 end=risen y=64 startY=60 pos=-353,58,139 walls=4/4/4 sky=15 place=8 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:31.5 E100 | jumps=6 @-353,57,139 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:31.7 S135 | S130 suppressed why=would-S130 but busy cool=125 flips=3 sameXz=36 child=CollectIronIngotTask cool=125 ban=125 hold=false pos=-353,57,139 walls=4/4/4 sky=15 place=9 boxed=true hold=false cool=125 ban=125 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:37.9 S134 | pillar cool expire after flips=25 end=risen y=64 startY=60 | pillar state machine: check ban column vs actual shaft column
FAULT 7:40.1 S138 | shaft ban clear left-xz ban=-353,139 now=-353,137 manh=2 left=17 | pillar state machine: check ban column vs actual shaft column
FAULT 7:51.0 E70 | iron stall 6s @-352,133 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 7:57.0 E70 | iron stall 6s @-352,132 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 8:14.8 E70 | iron stall 6s @-352,129 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 8:20.8 S100 | stop jump-walk @-353,139 ph=IRON child=CollectIronIngotTask esc=1 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 8:20.8 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 8:22.8 E100 | jumps=15 @-353,59,139 ph=IRON child=TimeoutWanderTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 8:31.9 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-373,65,140 walls=4/4/4 sky=15 place=23 boxed=true hold=false cool=0 ban=0 startY=65 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:33.8 S139 | rise confirmed +4y y=69 startY=65 pos=-373,69,140 walls=0/0/0 sky=15 place=20 boxed=false hold=true cool=0 ban=0 startY=65 step=37 | rise confirmed: real escape, cool armed
