FAULT 0:07.9 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 4:59.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 5:05.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 5:05.3 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 5:09.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 5:11.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 5:13.4 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 5:17.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 5:19.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 5:21.5 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 5:23.0 S120 | craft-gui jump @-242,66,190 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 5:23.2 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 5:29.0 S120 | craft-gui jump @-242,66,190 child=MineAndCollectTask | see T2Codes / paste faults.log
FAULT 5:29.0 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 5:29.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 5:29.6 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 5:34.1 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 5:35.0 S120 | craft-gui jump @-242,66,190 child=MineAndCollectTask | see T2Codes / paste faults.log
FAULT 5:37.7 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 5:39.1 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 5:39.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 5:41.0 S120 | craft-gui jump @-242,66,190 child=MineAndCollectTask | see T2Codes / paste faults.log
FAULT 5:44.1 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 5:45.8 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 5:47.0 S120 | craft-gui jump @-242,66,190 child=MineAndCollectTask | see T2Codes / paste faults.log
FAULT 5:49.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 5:49.2 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 5:53.0 S120 | craft-gui jump @-242,66,190 child=MineAndCollectTask | see T2Codes / paste faults.log
FAULT 5:53.9 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 5:54.2 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 5:59.0 S120 | craft-gui jump @-242,66,190 child=MineAndCollectTask | see T2Codes / paste faults.log
FAULT 5:59.2 E70 | iron stall 6s @-242,190 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 5:59.2 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 6:02.0 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 6:04.2 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 6:05.0 S120 | craft-gui jump @-242,66,190 child=MineAndCollectTask | see T2Codes / paste faults.log
FAULT 6:07.6 S130 | START trigger=flips=3 ph=IRON prev=MineAndCollectTask cycle=1 pos=-243,68,189 walls=4/4/3 sky=10 place=36 boxed=true hold=false cool=0 ban=0 startY=68 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:10.1 S133 | cool arm ticks=240 reason=stuck-low step=50 y=71 startY=68 ban=-243,189 pos=-243,71,189 walls=0/3/4 sky=13 place=32 boxed=false hold=true cool=240 ban=240 startY=68 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 6:10.1 S136 | END reason=stuck-low step=50 y=71 startY=68 roseReal=false giveUp=true pos=-243,71,189 walls=0/3/4 sky=13 place=32 boxed=false hold=true cool=240 ban=240 startY=68 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 6:10.1 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 6:10.1 S136 | stick drop pillar -> MineAndCollectTask finished=true hold=false cool=239 end=stuck-low step=50 y=71 startY=68 pos=-243,71,189 walls=0/3/4 sky=13 place=32 boxed=false hold=false cool=239 ban=239 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:10.4 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 6:10.5 S138 | shaft ban clear left-xz ban=-243,189 now=-245,189 manh=2 left=233 | pillar state machine: check ban column vs actual shaft column
FAULT 6:15.2 E93 | iron pick missing sticks fuel=0 | see T2Codes / paste faults.log
FAULT 6:21.3 S120 | craft-gui jump @-247,71,189 child=CraftInTableTask | see T2Codes / paste faults.log
FAULT 6:22.1 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=71 startY=68 | pillar state machine: check ban column vs actual shaft column
FAULT 6:22.1 S138 | shaft ban clear left-xz ban=-243,189 now=-247,188 manh=5 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 6:29.0 S120 | craft-gui jump @-244,75,189 child=CollectWaterBucketTask | see T2Codes / paste faults.log
FAULT 6:37.4 S130 | START trigger=jump-pit flips=6 ph=PORTAL prev=CollectFlintTask cycle=1 pos=-233,70,199 walls=4/4/4 sky=15 place=37 boxed=true hold=false cool=0 ban=0 startY=70 step=0 | pillar state machine: check ban column vs actual shaft column
